Designator,Mid X,Mid Y,Layer,Rotation
C1,138.850000,-104.000000,Top,0.000000
C2,139.500000,-88.000000,Top,0.000000
C3,152.000000,-104.000000,Top,180.000000
C4,139.500000,-95.000000,Top,0.000000
D2,134.750000,-87.500000,Top,0.000000
D3,148.000000,-102.100000,Top,-90.000000
L1,135.062500,-90.000000,Top,0.000000
R1,144.000000,-104.000000,Top,0.000000
R2,152.000000,-100.000000,Top,180.000000
R7,139.500000,-91.000000,Top,0.000000
R8,135.500000,-93.500000,Top,-90.000000
R9,144.500000,-88.000000,Top,0.000000
U2,139.930000,-99.600000,Top,90.000000
U3,144.050000,-93.845000,Top,90.000000
